,BR,DEP_TIME,FG,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindSpeed,RA,SN,Unnamed: 0,sky
12074,0.0,15.0,0.0,30.35,13.0,37.0,0.0,37.0,30.35,30.32,10.0,29.0,14.0,0.0,0.0,2153.0,1.0
3053,0.0,0.0,1.0,0.0,48.0,48.0,0.01,100.0,0.0,29.7,0.12,48.0,13.0,1.0,0.0,0.0,5.0
18935,1.0,21.0,0.0,29.85,52.0,52.0,0.0,100.0,29.84,29.83,3.0,52.0,7.0,0.0,0.0,9584.0,1.0
1987,0.0,0.0,0.0,0.0,21.0,30.0,0.01,69.0,0.0,30.08,9.0,27.0,15.0,1.0,0.0,0.0,3.0
3238,0.0,0.0,1.0,0.0,50.0,50.0,0.0,100.0,0.0,29.74,0.12,50.0,21.0,1.0,0.0,0.0,5.0
8759,1.0,0.0,0.0,0.0,28.0,30.0,0.01,92.0,0.0,29.96,2.5,29.0,9.0,0.0,1.0,0.0,2.0
14929,1.0,4.0,0.0,30.08,40.0,41.0,0.05,96.0,30.07,30.06,6.0,41.0,21.0,1.0,0.0,5180.0,2.0
18864,1.0,9.0,0.0,30.16,50.0,50.0,0.08,100.0,30.16,30.14,0.5,50.0,20.0,1.0,0.0,9499.0,4.0
962,0.0,0.0,0.0,0.0,17.0,29.0,0.0,61.0,0.0,29.87,10.0,25.0,15.0,0.0,0.0,0.0,3.0
16719,1.0,12.0,0.0,29.39,56.0,56.0,0.15,100.0,29.39,29.36,0.75,56.0,8.0,1.0,0.0,7189.0,6.0
386,0.0,0.0,0.0,0.0,8.0,23.0,0.0,53.0,0.0,30.32,10.0,19.0,15.0,0.0,0.0,0.0,1.0
1328,0.0,0.0,0.0,0.0,-9.0,13.0,0.0,36.0,0.0,30.19,10.0,9.0,23.0,0.0,0.0,0.0,1.0
297,0.0,0.0,0.0,0.0,-5.0,7.0,0.0,57.0,0.0,30.32,10.0,5.0,17.0,0.0,0.0,0.0,1.0
14569,0.0,9.0,0.0,30.5,42.0,46.0,0.0,86.0,30.5,30.47,10.0,44.0,8.0,0.0,0.0,4787.0,3.0
445,0.0,0.0,0.0,0.0,2.0,15.0,0.0,56.0,0.0,30.35,10.0,12.0,11.0,0.0,0.0,0.0,0.0
12917,0.0,2.0,0.0,30.53,17.0,29.0,0.0,61.0,30.53,30.5,10.0,25.0,9.0,0.0,0.0,3013.0,3.0
18941,0.0,13.0,0.0,29.95,51.0,51.0,0.04,100.0,29.95,29.93,3.0,51.0,22.0,0.0,0.0,9591.0,3.0
16784,0.0,15.0,1.0,29.35,53.0,53.0,0.01,100.0,29.35,29.33,0.12,53.0,9.0,0.0,0.0,7270.0,5.0
727,0.0,0.0,0.0,0.0,4.0,18.0,0.0,54.0,0.0,30.34,10.0,15.0,16.0,0.0,0.0,0.0,1.0
8984,0.0,0.0,0.0,0.0,12.0,24.0,0.0,60.0,0.0,30.14,10.0,21.0,21.0,0.0,0.0,0.0,1.0
16290,0.0,3.0,0.0,30.13,31.0,32.0,0.0,96.0,30.13,30.11,10.0,32.0,3.0,0.0,0.0,6711.0,1.0
1207,0.0,0.0,0.0,0.0,-8.0,10.0,0.0,43.0,0.0,30.06,10.0,7.0,25.0,0.0,0.0,0.0,1.0
16415,0.0,19.0,0.0,29.95,48.0,48.0,0.05,100.0,29.95,29.93,7.0,48.0,15.0,1.0,0.0,6842.0,4.0
5726,0.0,0.0,0.0,0.0,26.0,40.0,0.0,58.0,0.0,29.88,10.0,35.0,15.0,0.0,0.0,0.0,3.0
11908,0.0,7.0,0.0,30.23,23.0,32.0,0.0,69.0,30.23,30.21,10.0,29.0,15.0,0.0,0.0,1987.0,1.0
3097,0.0,0.0,1.0,0.0,42.0,42.0,0.0,100.0,0.0,30.11,0.25,42.0,3.0,0.0,0.0,0.0,5.0
8679,0.0,0.0,0.0,0.0,22.0,33.0,0.0,64.0,0.0,29.96,10.0,29.0,21.0,0.0,0.0,0.0,1.0
1779,0.0,0.0,0.0,0.0,9.0,18.0,0.0,68.0,0.0,30.3,10.0,16.0,16.0,0.0,0.0,0.0,1.0
1226,0.0,0.0,0.0,0.0,-4.0,9.0,0.0,55.0,0.0,30.19,10.0,7.0,22.0,0.0,0.0,0.0,2.0
1748,0.0,0.0,0.0,0.0,8.0,18.0,0.0,65.0,0.0,30.3,10.0,16.0,15.0,0.0,0.0,0.0,1.0
2316,0.0,0.0,0.0,0.0,22.0,39.0,0.0,50.0,0.0,30.24,10.0,33.0,14.0,0.0,0.0,0.0,3.0
11336,0.0,5.0,0.0,30.1,18.0,27.0,0.0,69.0,30.09,30.08,10.0,24.0,6.0,0.0,0.0,1415.0,1.0
477,0.0,0.0,0.0,0.0,2.0,15.0,0.0,56.0,0.0,30.37,10.0,12.0,15.0,0.0,0.0,0.0,0.0
18888,1.0,11.0,0.0,30.01,50.0,50.0,0.2,100.0,30.0,29.98,0.5,50.0,20.0,1.0,0.0,9528.0,3.0
1183,0.0,0.0,0.0,0.0,-2.0,10.0,0.0,58.0,0.0,29.75,10.0,8.0,26.0,0.0,0.0,0.0,1.0
11771,0.0,17.0,0.0,30.19,24.0,38.0,0.0,57.0,30.19,30.16,10.0,33.0,20.0,0.0,0.0,1850.0,1.0
15063,1.0,13.0,0.0,29.84,41.0,42.0,0.26,96.0,29.84,29.82,2.0,42.0,20.0,1.0,0.0,5394.0,1.0
1026,0.0,0.0,0.0,0.0,2.0,14.0,0.0,58.0,0.0,29.59,10.0,11.0,31.0,0.0,0.0,0.0,1.0
19299,0.0,7.0,0.0,29.96,43.0,51.0,0.0,74.0,29.96,29.93,10.0,47.0,15.0,0.0,0.0,9977.0,1.0
13024,0.0,17.0,0.0,30.15,20.0,36.0,0.0,52.0,30.15,30.12,10.0,30.0,6.0,0.0,0.0,3122.0,1.0
1198,0.0,0.0,0.0,0.0,-8.0,8.0,0.0,47.0,0.0,30.42,10.0,5.0,20.0,0.0,0.0,0.0,1.0
1609,0.0,0.0,0.0,0.0,1.0,15.0,0.0,53.0,0.0,30.5,10.0,12.0,13.0,0.0,0.0,0.0,1.0
1071,0.0,0.0,0.0,0.0,0.0,12.0,0.0,58.0,0.0,29.67,10.0,10.0,23.0,0.0,0.0,0.0,1.0
1332,0.0,0.0,0.0,0.0,-9.0,13.0,0.0,36.0,0.0,30.22,10.0,9.0,26.0,0.0,0.0,0.0,1.0
992,0.0,0.0,0.0,0.0,-2.0,10.0,0.0,58.0,0.0,29.78,10.0,8.0,26.0,0.0,0.0,0.0,1.0
1167,0.0,0.0,0.0,0.0,2.0,13.0,0.0,61.0,0.0,29.64,10.0,11.0,24.0,0.0,0.0,0.0,1.0
16681,0.0,23.0,0.0,29.22,51.0,52.0,0.0,97.0,29.21,29.2,8.0,51.0,15.0,0.0,0.0,7143.0,1.0
16506,1.0,9.0,0.0,29.5,54.0,54.0,0.22,100.0,29.5,29.48,2.0,54.0,15.0,1.0,0.0,6945.0,2.0
4179,0.0,0.0,0.0,0.0,32.0,39.0,0.0,76.0,0.0,30.42,10.0,36.0,8.0,0.0,0.0,0.0,1.0
8956,0.0,0.0,0.0,0.0,30.0,35.0,0.0,82.0,0.0,29.91,10.0,33.0,8.0,0.0,0.0,0.0,3.0
18311,0.0,5.0,0.0,30.45,20.0,33.0,0.0,58.0,30.45,30.42,10.0,29.0,10.0,0.0,0.0,8915.0,3.0
1266,0.0,0.0,0.0,0.0,-8.0,9.0,0.0,46.0,0.0,30.12,10.0,6.0,20.0,0.0,0.0,0.0,1.0
1057,0.0,0.0,0.0,0.0,-3.0,13.0,0.0,49.0,0.0,29.8,10.0,10.0,23.0,0.0,0.0,0.0,1.0
4511,1.0,0.0,0.0,0.0,31.0,33.0,0.0,92.0,0.0,30.17,2.5,32.0,15.0,0.0,1.0,0.0,3.0
